Algorithm,dataset #1,dataset #2,dataset #3,dataset #4,dataset #5
Apriori,0.0278699398041,0.0223398208618,0.0291440486908,0.0366549491882,0.0425770282745
FP Growth,0.0242011547089,0.0230710506439,0.0233330726624,0.0228290557861,0.0233709812164
